die Kalibrationsphase in der die Funktion | die Kalibrationsphase, in der die Funktion | de/2051_Neuroimplantat
Nach den Progromen auf der Erde | Nach den Pogromen auf der Erde | de/2691_Koriko
da sie für die Bewohner Dravemir nicht mehr nützlich sind | da sie für die Bewohner Dravemirs nicht mehr nützlich sind | de/2700_Eskalation
helfen überraschenderweise aaronischer Söldner unbekannter Abstammung | helfen überraschenderweise aaronische Söldner unbekannter Abstammung | de/2704_Eine_Freiwilligenarmee_von_Ger
die wie so oft, auf unterschiedliche Verhältnisse und Denkweisen | die, wie so oft, auf unterschiedliche Verhältnisse und Denkweisen | de/2705_KisorKrieg
Dies führt zur taktischen Notwendigkeit auch die Nachschubbasen des Gegners anzugreifen. | Dies führt zur taktischen Notwendigkeit, auch die Nachschubbasen des Gegners anzugreifen. | de/2705_KisorKrieg
Und damit keinen Grund Intelligenz zu entwickeln. | Und damit keinen Grund, Intelligenz zu entwickeln. | de/2705c_Entdeckung_der_pflanzlichen_In
zum Kriegsabkommens von 2720 | zum Kriegsabkommen von 2720 | de/2720_Kriegsabkommen
schonten während Kisor | schonten, während Kisor | de/2720_Kriegsabkommen
abgefangen als Tika versuchte | abgefangen, als Tika versuchte | de/2720_Kriegsabkommen
geführt hatten an den Kämpfen | geführt hatten, an den Kämpfen | de/2720_Kriegsabkommen
in Industriebereichen wo Verbrauchsspitzen | in Industriebereichen, wo Verbrauchsspitzen | de/2720_Kriegsabkommen
Unzählige automatischer Kameras | Unzählige automatische Kameras | de/2721_Spacedom
beginnen die ursprüngliche Struktur wiederherstellen | beginnen die ursprüngliche Struktur wiederherzustellen | de/2722_Guedan
In einem natürlichen entwickelten Mechanismus | In einem natürlich entwickelten Mechanismus | de/2723c_Entdeckung_der_unsterblichen_S
Im ihrem Sockel liegen | In ihrem Sockel liegen | de/2725_Gee
eine planetenumspannenden Lebensform | eine planetenumspannende Lebensform | de/2726_Lem
Die Solaren Befreiungsfront und Survivalisten durchbrechen | Die Solare Befreiungsfront und Survivalisten durchbrechen | de/2727_SpacedomRettung
und gründeten die Solaren Befreiungsfront (SLF) | und gründen die Solare Befreiungsfront (SLF) | de/2727_SpacedomRettung
zerstört die dort herrschende Gilde 90% aller Industrie während in Asien Wiederaufbauprogramme laufen. | zerstört die dort herrschende Gilde 90% aller Industrie, während in Asien Wiederaufbauprogramme laufen. | de/2733_Gilden_befriedigen_Reparations
berühmt geworden durch den Beststeller *Höllentor Tsomo* | berühmt geworden durch den Bestseller *Höllentor Tsomo* | de/2734_Die_Versorgung_der_internierte
Hilfsprogrammen gegen Hun-gersnöte und Seuchen | Hilfsprogrammen gegen Hungersnöte und Seuchen | de/2736_Ende_der_Kriegsfolgen
vor allem von kisorischen Nicht-regierungsorganisationen getragen | vor allem von kisorischen Nichtregierungsorganisationen getragen | de/2736_Ende_der_Kriegsfolgen
durch Aufhebung der Kon-trolle über einige Industriezweige | durch Aufhebung der Kontrolle über einige Industriezweige | de/2736_Ende_der_Kriegsfolgen
Übertragung der Regionalverwaltun-gen an Menschen | Übertragung der Regionalverwaltungen an Menschen | de/2736_Ende_der_Kriegsfolgen
und schon bald bewe-gen sich die Schiffe der Koalition | und schon bald bewegen sich die Schiffe der Koalition | de/2736_Ende_der_Kriegsfolgen
als Vertreter des Mutterplaneten gegen-über den Kolonien | als Vertreter des Mutterplaneten gegenüber den Kolonien | de/2736_Ende_der_Kriegsfolgen
und Abzug ei-nes Großteils der Besatzungstruppen | und Abzug eines Großteils der Besatzungstruppen | de/2736_Ende_der_Kriegsfolgen
wobei anfangs nur Alpha, der äußere Planet bewohnbar war. | wobei anfangs nur Alpha, der äußere Planet, bewohnbar war. | de/2743_Kisor
ein atmosphärenloser Mond von 2000 Kilometer Durchmesser während Alpha keine Satelliten hat. | ein atmosphärenloser Mond von 2000 Kilometer Durchmesser, während Alpha keine Satelliten hat. | de/2743_Kisor
einem Gebiet des Sagittarius-Arms der Galaxis vertrieben worden | einem Gebiet des Sagittarius-Arms der Galaxis, vertrieben worden | de/2743_Kisor
so stark einschränkt, dass sie den Sektor wieder verließen. | so stark eingeschränkt, dass sie den Sektor wieder verließen. | de/2743_Kisor
der Auslöser biologischen eines Auslöschungs-Ereignisses | der Auslöser eines biologischen Auslöschungs-Ereignisses | de/2746_Massara
wenn Menschen eine Methan-Ammoniak Volk besuchen | wenn Menschen ein Methan-Ammoniak Volk besuchen | de/2746_Massara
CGTA-DNA basierte Biossysteme | CGTA-DNA basierte Biosysteme | de/2746_Massara
der Oortsche Wolke navigieren | der Oortschen Wolke navigieren | de/2747_Rennen
eine dramatische Situation zu herbeizuführen | eine dramatische Situation herbeizuführen | de/2750_Decision
eine einzigartige Möglichkeit die Interaktion von Biosystemen zu beobachten | eine einzigartige Möglichkeit, die Interaktion von Biosystemen zu beobachten | de/2776_Caves
auf die Idee gekommen die Höhlen von Sona als Versuchsgelände für Biosysteme zu verwenden | auf die Idee gekommen, die Höhlen von Sona als Versuchsgelände für Biosysteme zu verwenden | de/2776_Caves
Die Biosysteme unterschieden sich so sehr untereinander | Die Biosysteme unterscheiden sich so sehr untereinander | de/2776_Caves
der faktischen Regierung des Zweiplanentenreichs | der faktischen Regierung des Zweiplanetenreichs | de/2780_Die_adeligen_Gilden_Alphas_bes
Er ist ein Ausdruck des aufsteigenden (merantischen) nationalistischen Bewegung. | Er ist ein Ausdruck der aufsteigenden (merantischen) nationalistischen Bewegung. | de/2783_Regionalzentrum
Regionalzentren frei in der Ausgestaltung ihre Pflicht. | Regionalzentren frei in der Ausgestaltung ihrer Pflicht. | de/2783_Regionalzentrum
Als Neobarbaren die Menschen angreifen wird Kisor aktiv. | Als Neobarbaren die Menschen angreifen, wird Kisor aktiv. | de/2783_Regionalzentrum
beginnt schon bevor Interia auf das Kelrec-Problem aufmerksam wird. | beginnt schon, bevor Interia auf das Kelrec-Problem aufmerksam wird. | de/2783_Regionalzentrum
Die Tributzahlungen enden 2725 als Kisor herausfindet | Die Tributzahlungen enden 2725, als Kisor herausfindet | de/2783_Regionalzentrum
die opportunistische Weise in der Kisor seine Pflicht als Regionalzentrum des Imperiums erfüllt. | die opportunistische Weise, in der Kisor seine Pflicht als Regionalzentrum des Imperiums erfüllt. | de/2783_Regionalzentrum
Dabei übernehmen Sie faktisch | Dabei übernehmen sie faktisch | de/2787_Teilweise_bewaffnete_Auseinand
keine Erklärung wie eine | keine Erklärung, wie eine | de/2788_Entdeckung_der_großen_Pyramide
Nach Progromen der Singulariten | Nach Pogromen der Singulariten | de/2789_Befreiung_von_Fox_vom_Joch_der
Imperiums stütze sich vorher | Imperiums stützte sich vorher | de/2794_Hro
Andere kelanischen Legenden erzählen | Andere kelanische Legenden erzählen | de/2794_Hro
Verhaltensweisen zurückzukehren und damit | Verhaltensweisen zurückkehren und damit | de/2794_Hro
der letzten Generationen in der sich | der letzten Generationen, in der sich | de/2794_Hro
Die Temperaturen des vorher bewohnbaren Planeten beträgt 350 K. | Die Temperatur des vorher bewohnbaren Planeten beträgt 350 K. | de/2799_Beobachtung_des_Exodus_der_Alt
wie Menschen und Kisori sind ähnlich | wie Menschen und Kisori, sind ähnlich | de/2786_Yaris
scharfe, eindeutigen Spitzen | scharfe, eindeutige Spitzen | de/2804_Die_Jagd_auf_die_riesigen_rept
nach der Annektion Alphas durch Beta | nach der Annexion Alphas durch Beta | de/2819_Kisor_Beta_übernimmt_die_Macht
aus dem Schiffskörper bis nur noch das Makroskelett | aus dem Schiffskörper, bis nur noch das Makroskelett | de/2822_Koloss
einen neuen Tranceiver in Betrieb | einen neuen Transceiver in Betrieb | de/2834_Generationsschiff
wird es aber zur Regel nur noch lokal registrierte Schiffe zuzulassen | wird es aber zur Regel, nur noch lokal registrierte Schiffe zuzulassen | de/2835_Errichtung_von_Raumschutzzonen
Die Teilchen, zerfallen ohne messbare Zwischenstadien | Die Teilchen zerfallen ohne messbare Zwischenstadien | de/2841_Tempel
Bisher wurde nur dieses eine Objekt entdeckt bei dem der Mechanismus in Betrieb ist. | Bisher wurde nur dieses eine Objekt entdeckt, bei dem der Mechanismus in Betrieb ist. | de/2841_Tempel
Es gibt verborgende Schätze und exotische Artefakte. | Es gibt verborgene Schätze und exotische Artefakte. | de/2843_RiskanteBergung
vielleicht sogar ein Wesen, dass durch den Demontageprozess aus seiner Millionen Jahre langen Stasis geweckt wurde | vielleicht sogar ein Wesen, das durch den Demontageprozess aus seiner Millionen Jahre langen Stasis geweckt wurde | de/2843_RiskanteBergung
Es besteht zum Großteil aus den Platten der ehemaligen Schiffshülle | Er besteht zum Großteil aus den Platten der ehemaligen Schiffshülle | de/2843_RiskanteBergung
Deutlich sind Forschungsreihen zu erkennen in denen Wissenschaftler von Vocon | Deutlich sind Forschungsreihen zu erkennen, in denen Wissenschaftler von Vocon | de/2844_Centaurus
wenn sich ihre Handlungsweise fatal auf etablierte Zivilisationen auswirken | wenn sich ihre Handlungsweise fatal auf etablierte Zivilisationen auswirkt | de/2845_Plünderung_von_Artus_durch_Neo
vergleichbar mit dem Einschlag auf der Erde bei dem der Mond geformt wurde | vergleichbar mit dem Einschlag auf der Erde, bei dem der Mond geformt wurde | de/2851_Begun
Das Ereignis führt unter den Begunern auf verschieden Planeten zur Gründung | Das Ereignis führt unter den Begunern auf verschiedenen Planeten zur Gründung | de/2851_Begun
Die meisten Habitatarchitekten hanben mir erklärt | Die meisten Habitatarchitekten haben mir erklärt | de/2852_Haie
aber in einem Aquarium wäre die Beleuchting durch das Wasser störend | aber in einem Aquarium wäre die Beleuchtung durch das Wasser störend | de/2852_Haie
hell genug, um durch die Fenster herein zu scheinen | hell genug, um durch die Fenster hereinzuscheinen | de/2852_Haie
die ihre Eroberungen verteidigen und Leccianern | die ihre Eroberungen verteidigen, und Leccianern | de/2866_Der_Fernhandel_geht_stark_zurü
Bei Qi handelt sich um Netzleben | Bei Qi handelt es sich um Netzleben | de/2870_Qi
nicht in der Lage auf die reale Information im Solnet zuzugreifen | nicht in der Lage, auf die reale Information im Solnet zuzugreifen | de/2870_Qi
Nur selten gelingt es Schläge gegen die inneren Systeme zu führen. | Nur selten gelingt es, Schläge gegen die inneren Systeme zu führen. | de/2895_Militärisches_Patt_zwischen_de
umgerüstet worden wurde | umgerüstet worden war | de/2915_FTLRailgun
manche auf simulierten Bewusstseinsniveau | manche auf simuliertem Bewusstseinsniveau | de/2915_FTLRailgun
eines der wenigen Systemen der menschlichen Sphäre | eines der wenigen Systeme der menschlichen Sphäre | de/2949_KoeniginMarduk
MCC unterhielt dafür eine kleine Flotille von mobilen Waffenplattformen | MCC unterhielt dafür eine kleine Flottille von mobilen Waffenplattformen | de/2949_KoeniginMarduk
wo es nicht mehr viel freie Plätze gab | wo es nicht mehr viele freie Plätze gab | de/2949_KoeniginMarduk
mit der Absicht gegründet worden, die Herrschaft | mit der Absicht gegründet, die Herrschaft | de/2949_KoeniginMarduk
MCC rekrutiert so gezielt Personal für Schüsselpositionen | MCC rekrutiert so gezielt Personal für Schlüsselpositionen | de/2949_KoeniginMarduk
Als Leitbild für das Projekt dient eine Synthese aus babylonischer Mythologie und römischer-republikanischer Tradition. | Als Leitbild für das Projekt dient eine Synthese aus babylonischer Mythologie und römisch-republikanischer Tradition. | de/2949_KoeniginMarduk
Aber im Gegensatz zu dem meisten anderen Siedlungssystemen | Aber im Gegensatz zu den meisten anderen Siedlungssystemen | de/2949_KoeniginMarduk
Deshalb war von Anfang ein Übergang zur Demokratie geplant. | Deshalb war von Anfang an ein Übergang zur Demokratie geplant. | de/2949_KoeniginMarduk
dem Ausrüstungsveranwortlichen für die Überlicht-Kampfeinheiten | dem Ausrüstungsverantwortlichen für die Überlicht-Kampfeinheiten | de/2956_Chaosmanagement
Das Sonnensystem ist sein 70 Jahren besetzt. | Das Sonnensystem ist seit 70 Jahren besetzt. | de/2969_Millennium
Der Wirtschaftsleistung des gesamten Systems ist von ihrem Höchststand | Die Wirtschaftsleistung des gesamten Systems ist von ihrem Höchststand | de/2969_Millennium
den speziellen Uthoismus bei dem nur die Besten und Mächtigsten | den speziellen Uthoismus, bei dem nur die Besten und Mächtigsten | de/2997_Utho
unzählige Zufluchtsstätten in denen Flüchtlinge eingelagert sind | unzählige Zufluchtsstätten, in denen Flüchtlinge eingelagert sind | de/3010_IcePlanet
interstellare militärischen Stützpunkte | interstellare militärische Stützpunkte | de/3010_IcePlanet
leisten wichtige Beträge | leisten wichtige Beiträge | de/3010_IcePlanet
einzelne irdischen Regionen | einzelne irdische Regionen | de/3020_MagnetUnabhängigkeit
der Raumzeit in der geordnete Muster entstehen können | der Raumzeit, in der geordnete Muster entstehen können | de/3042_Simba
um das SMBH in der die Raumzeit | um das SMBH, in der die Raumzeit | de/3042_Simba
einen Galaxienhaufen bei dem 15 Galaxien | einen Galaxienhaufen, bei dem 15 Galaxien | de/3042_Simba
dass die Bewegungen großer Simbas planvoll ist | dass die Bewegungen großer Simbas planvoll sind | de/3042_Simba
Verschmelzungen großer Galaxien bei denen die SMBHs | Verschmelzungen großer Galaxien, bei denen die SMBHs | de/3042_Simba
einsteht aus zwei Individuen ein mächtigeres Neues | entsteht aus zwei Individuen ein mächtigeres Neues | de/3042_Simba

da Instinkt und Reflexe evolutionäre hervorgebrachte und nicht emergente Eigenschaften sind | da Instinkt und Reflexe evolutionär hervorgebrachte und nicht emergente Eigenschaften sind | de/3042_Simba
die eine Millionen Jahre dauern | die eine Million Jahre dauern | de/3042_Simba
integrierte Völker, wurden sich selbst überlassen | integrierte Völker wurden sich selbst überlassen | de/3050_Solos
die extrasolaren Systeme in denen Menschen wohnen | die extrasolaren Systeme, in denen Menschen wohnen | de/3055_Die_Bevölkerung_außerhalb_des_
Diese genetische begründete Treue | Diese genetisch begründete Treue | de/3061_Krrz
die Anzahl der gegnerische Krieger zu verringern | die Anzahl der gegnerischen Krieger zu verringern | de/3061_Krrz
von Markierern, eine Chinti-Kaste, die auf | von Markierern, einer Chinti-Kaste, die auf | de/3061_Krrz
geschaffen in denen jeweils Millionen Kisori | geschaffen, in denen jeweils Millionen Kisori | de/3075_Sabotage_des_Ökoformings_auf_K
Sie wollen eine Wiederholung des Frevels zu verhindern. | Sie wollen eine Wiederholung des Frevels verhindern. | de/3075_Sabotage_des_Ökoformings_auf_K
Schließlich geht um Krieg mit oft tödlichem Ausgang | Schließlich geht es um Krieg mit oft tödlichem Ausgang | de/3090_SoloEhre
Tributzahlungen von extrasolaren Dellianerstämmen sind stark zurück gegangen | Tributzahlungen von extrasolaren Dellianerstämmen sind stark zurückgegangen | de/3090_SoloEhre
Ihnen bliebt das Ranking im | Ihnen bleibt das Ranking im | de/3090_SoloEhre
Unter den so kodfizierten Regelsätzen | Unter den so kodifizierten Regelsätzen | de/3090_SoloEhre
logarithmisch skalierte Berechnung. und | logarithmisch skalierte Berechnung, und | de/3090_SoloEhre
Etwa die Hälfte alle militärischen Auseinandersetzungen | Etwa die Hälfte aller militärischen Auseinandersetzungen | de/3090_SoloEhre
ohne, dass sie so deklariert werden | ohne dass sie so deklariert werden | de/3090_SoloEhre
in bewusste Denkvorgänge einblendet | in bewusste Denkvorgänge eingeblendet | de/3090_SoloEhre
Er muss anderen Kräften des Gegners auszuweichen | Er muss anderen Kräften des Gegners ausweichen | de/3090_SoloEhre
um Zivilisten zu retten, vor allen in ungeregelten Konflikten | um Zivilisten zu retten, vor allem in ungeregelten Konflikten | de/3090_SoloEhre
Nach dem Putsch der Leccianern waren sie | Nach dem Putsch der Leccianer waren sie | de/3110_Fragmentierung
zu einem der wenigen vertrauenswürdigen Sicherheitsanbietern macht | zu einem der wenigen vertrauenswürdigen Sicherheitsanbieter macht | de/3110_Fragmentierung
Einige interstellarer Kolonien der Menschheit | Einige interstellare Kolonien der Menschheit | de/3110_Fragmentierung
was im alten Heimatsystems passiert | was im alten Heimatsystem passiert | de/3110_Fragmentierung
gibt es auch geheime vorgeschobenen Basen | gibt es auch geheime vorgeschobene Basen | de/3110_Fragmentierung
auf die drei größten Saturnmode | auf die drei größten Saturnmonde | de/3110_Fragmentierung
Mache Schwärme haben sich der Assimilation | Manche Schwärme haben sich der Assimilation | de/3110_Fragmentierung
des Sonnensystems in denen Menschen | des Sonnensystems, in denen Menschen | de/3110_Fragmentierung
Beiden Seiten benutzen vor allem menschliche Truppen | Beide Seiten benutzen vor allem menschliche Truppen | de/3116_Shackleton
Die Erde hat keine Wahl als immer wieder Menschen | Die Erde hat keine Wahl, als immer wieder Menschen | de/3116_Shackleton
Palastwachen auf den ganzen Mond schließen sich | Palastwachen auf dem ganzen Mond schließen sich | de/3116_Shackleton
Langstrecken-Waffensysteme auf den Mond. | Langstrecken-Waffensysteme auf dem Mond. | de/3116_Shackleton
Sie bedrohen auch der Palast von Terrax | Sie bedrohen auch den Palast von Terrax | de/3116_Shackleton
Terrax hatte während den Verhandlungen heimlich | Terrax hatte während der Verhandlungen heimlich | de/3116_Shackleton
technisch-wirtschaftliche Renaissance konnte den Abwärtstrend | technisch-wirtschaftliche Renaissance konnten den Abwärtstrend | de/3124_Minimum_der_solaren_Wirtschaft
Aber sich wächst, sowohl was die Kapazitäten | Aber sie wächst, sowohl was die Kapazitäten | de/3124_Minimum_der_solaren_Wirtschaft
ne Umlambo einem wohlhabenden Autodidakten | ne Umlambo, einem wohlhabenden Autodidakten | de/3131_Ruinen
feindliche Himmelsvölker doch schließlich stürzen diese | feindliche Himmelsvölker, doch schließlich stürzen diese | de/3131_Ruinen
dass Uri Tza Meka's Reisen auf wahren Ereignissen | dass Uri Tza Mekas Reisen auf wahren Ereignissen | de/3131_Ruinen
Heute ist nicht mehr zu erkennen welche Waffensysteme | Heute ist nicht mehr zu erkennen, welche Waffensysteme | de/3131_Ruinen
Militärhistoriker des 30. Jahrhundert u.Z. | Militärhistoriker des 30. Jahrhunderts u.Z. | de/3131_Ruinen
Das klingt, also ob die Ladeleistung | Das klingt, als ob die Ladeleistung | de/3131_Ruinen
Anlagen mussten lizensiert werden | Anlagen mussten lizenziert werden | de/3141_Kartusche
über ein Netz schnell wechselnden Drahtlosstrecken | über ein Netz schnell wechselnder Drahtlosstrecken | de/3141_Kartusche
die Fremdherrscher der Solsystems | die Fremdherrscher des Solsystems | de/3162_Erste_Konflikte_zwischen_Mensc
Aber noch fehlen staatlichen Strukturen | Aber noch fehlen staatliche Strukturen | de/3170_Wiederherstellung_der_Ordnung_
herauszufinden welche Komponenten | herauszufinden, welche Komponenten | de/3190_ChintiArmageddon
Die interstellaren Reshumana wurde nicht aufgelöst | Die interstellare Reshumana wurde nicht aufgelöst | de/3191_ReshumanisCobol
Immerhin hat Cobol, im Gegensatz zu Sol, eine einsatzbereite Systemverteidigung | Immerhin hat Cobol, im Gegensatz zu Sol, eine einsatzbereite Systemverteidigung. | de/3191_ReshumanisCobol
die Präsidentin der Reshumana im Solsystem wird zur Präsidentin | die Präsidentin der Reshumana im Solsystem, wird zur Präsidentin | de/3201_Akari_I
der Flux-orientierten Betriebs | des Flux-orientierten Betriebs | de/3225_Flux
Solare CaOpS-Prinzipen und | Solare CaOpS-Prinzipien und | de/3225_Flux
zur Verteidigung des Clusters war. | zur Verteidigung des Clusters wahr. | de/3245_Sterge
zwischen gegnerischen Militäreinheiten deren Aufträge bei Manövern kollidieren. | zwischen gegnerischen Militäreinheiten, deren Aufträge bei Manövern kollidieren. | de/3245_Sterge
Reshumana-Verbände greifen die Invasoren von an. | Reshumana-Verbände greifen die Invasoren an. | de/3245_Sterge
um den simulierten Habitat-Cluster zu anzugreifen. | um den simulierten Habitat-Cluster anzugreifen. | de/3245_Sterge
Sie wird von KIs an Leben gehalten. | Sie wird von KIs am Leben gehalten. | de/3255_Entdeckung_der_Überreste_eines
um Planeten zu sterilisieren ist der Einsatz | um Planeten zu sterilisieren, ist der Einsatz | de/3260_Erfolgreicher_Schlag_gegen_ein
nehmen Artu eher als Störfaktor war. | nehmen Artu eher als Störfaktor wahr. | de/3270_Kammer
nahmen dabei absolute keine Rücksicht | nahmen dabei absolut keine Rücksicht | de/3270_Kammer
konzentriert auf Planetenoberflachen. | konzentriert auf Planetenoberflächen. | de/3270_Kammer
Einfache automatisch Anlagen für die Lebenserhaltung | Einfache automatische Anlagen für die Lebenserhaltung | de/3270_Kammer
Befreit von den Störungen bauchen die Kisori auf Beta | Befreit von den Störungen brauchen die Kisori auf Beta | de/3270_Kammer
Wer kann man so ein gigantisches Gebilde zerstören? | Wie kann man so ein gigantisches Gebilde zerstören? | de/3291_Gone
nur eine wenige hundert Lichtjahre großen Region | nur eine wenige hundert Lichtjahre große Region | de/3291_Gone
ist bei Mansalu fast alles aus einer dynamischem Nanomatrix | ist bei Mansalu fast alles aus einer dynamischen Nanomatrix | de/3291_Gone
oder Nukleonenisomeren habe eine tausendfach höhere Energiedichte. | oder Nukleonenisomeren haben eine tausendfach höhere Energiedichte. | de/3296_Drachenlegenden
Insbesondere verzichten Sie darauf, den angegriffenen Bereich | Insbesondere verzichten sie darauf, den angegriffenen Bereich | de/3296_Drachenlegenden
verpflichtet, regelmäßigen einen materiellen Beitrag | verpflichtet, regelmäßig einen materiellen Beitrag | de/3296_Drachenlegenden
das sie gleichzeitig Abkühlung verursachen. | dass sie gleichzeitig Abkühlung verursachen. | de/3320_Die_Völker_Thoas_werden_vor_ei
einen künstlichen Treibhauseffekt zu herstellen. | einen künstlichen Treibhauseffekt herzustellen. | de/3320_Die_Völker_Thoas_werden_vor_ei
beleuchten gezielt einzelne Regionen um die Ausbildung einer Schnee-/Eis-Schicht zu verhindern | beleuchten gezielt einzelne Regionen, um die Ausbildung einer Schnee-/Eis-Schicht zu verhindern | de/3320_Die_Völker_Thoas_werden_vor_ei
Die reale Mansalu Anteil der Bevölkerung nimmt ab. | Der reale Mansalu Anteil der Bevölkerung nimmt ab. | de/3334_Besuch_einer_Gesandtschaft_der
zentral positionierten Observatorien in denen Daten gesammelt und korreliert werden | zentral positionierten Observatorien, in denen Daten gesammelt und korreliert werden | de/3347_Betriebsstart_von_Argus
Die Farbe Brisk-Rot, war seit eineinhalb Jahrhunderten | Die Farbe Brisk-Rot war seit eineinhalb Jahrhunderten | de/3353_Das_Tor_der_Kontroverse
Sogar bis in virtuellen Welten, die nur der Unterhaltung dienten. | Sogar bis in virtuelle Welten, die nur der Unterhaltung dienten. | de/3353_Das_Tor_der_Kontroverse
Auch in den üblichen virtuelle Arbeits- und Freizeitumgebungen | Auch in den üblichen virtuellen Arbeits- und Freizeitumgebungen | de/3353_Das_Tor_der_Kontroverse
Mitte des 29. Jahrhundert beschleunigte sich | Mitte des 29. Jahrhunderts beschleunigte sich | de/3359_Survivalisten_in_Not
einige zivilisierte System wurden von Außenseitern überfallen | einige zivilisierte Systeme wurden von Außenseitern überfallen | de/3359_Survivalisten_in_Not
ähnelt dem des "äußeren System". | ähnelt dem des "äußeren Systems". | de/3359_Survivalisten_in_Not
entdeckten Survivalisten von Raba-Ulken eine fremde Sonde | entdeckten Survivalisten von Raba-Uken eine fremde Sonde | de/3359_Survivalisten_in_Not
durch eine Diversifizierung der Versorgungslage die Stimmung verbessern. | durch eine Diversifizierung der Versorgungslage die Stimmung zu verbessern. | de/3359_Survivalisten_in_Not
Als ein der drei Fabs ausfällt werden die Produktionsziele beibehalten. | Als eine der drei Fabs ausfällt werden die Produktionsziele beibehalten. | de/3359_Survivalisten_in_Not
Nie darf eine Situation eintreten in der keine Fab mehr arbeiten kann. | Nie darf eine Situation eintreten, in der keine Fab mehr arbeiten kann. | de/3359_Survivalisten_in_Not
ein chaotisches Element in die Bahn einzuführen das eine Nachverfolgung schwierig machen würde | ein chaotisches Element in die Bahn einzuführen, das eine Nachverfolgung schwierig machen würde | de/3359_Survivalisten_in_Not
Er musste die Strafexpedition durchzuführen, mit der die erste Geschichte von Menschen und Kisori endete. | Er musste die Strafexpedition durchführen, mit der die erste Geschichte von Menschen und Kisori endete. | de/3361_ErsteMenschheit
Gleichzeitig einsteht mit den sogenannten kelanischen Robot-Fürsten ein neuer Gegner. | Gleichzeitig entsteht mit den sogenannten kelanischen Robot-Fürsten ein neuer Gegner. | de/3361_ErsteMenschheit
in einer vom kisorischen Alturismus geprägten Gesellschaft | in einer vom kisorischen Altruismus geprägten Gesellschaft | de/3361_ErsteMenschheit
nicht die Fähigkeit ihre eigenen Schiffe zu nachzubauen. | nicht die Fähigkeit ihre eigenen Schiffe nachzubauen. | de/3361_ErsteMenschheit
Kontrollmechanismen prüfen ob Kommandos im Einklang mit dem aktuellen Auftrag stehen. | Kontrollmechanismen prüfen, ob Kommandos im Einklang mit dem aktuellen Auftrag stehen. | de/3361_ErsteMenschheit
Sie habe die Ausbildung der kisorischen Flotte | Sie haben die Ausbildung der kisorischen Flotte | de/3361_ErsteMenschheit
inklusive einer Integration in die Schiffsysteme. | inklusive einer Integration in die Schiffssysteme. | de/3361_ErsteMenschheit
Auch die Goldenen Flotte versammelt ihre Kräfte. | Auch die Goldene Flotte versammelt ihre Kräfte. | de/3361_ErsteMenschheit
Für die Goldenen Flotte bietet sich damit eine perfekte Gelegenheit | Für die Goldene Flotte bietet sich damit eine perfekte Gelegenheit | de/3361_ErsteMenschheit
damit die Goldenen Flotte in Unordnung zu stürzen. | damit die Goldene Flotte in Unordnung zu stürzen. | de/3361_ErsteMenschheit
wenn die Menschen im Gegenzug auf Gewalt gegen das Kisor-System zu verzichten. | wenn die Menschen im Gegenzug auf Gewalt gegen das Kisor-System verzichten. | de/3361_ErsteMenschheit
Dann erreicht die Goldenen Flotte das Solsystem. | Dann erreicht die Goldene Flotte das Solsystem. | de/3361_ErsteMenschheit
Die Goldenen Flotte verfolgt alle aus dem System flüchtenden Einheiten. | Die Goldene Flotte verfolgt alle aus dem System flüchtenden Einheiten. | de/3361_ErsteMenschheit
bevor die Goldenen Flotte weiterziehen muss | bevor die Goldene Flotte weiterziehen muss | de/3361_ErsteMenschheit
arbeiten millionen Beobachtungssatelliten und Drohnen | arbeiten Millionen Beobachtungssatelliten und Drohnen | de/3361_ErsteMenschheit
das Kriegsmaterial in einem Krieg an dessen Ende die Kisor-Zwillinge | das Kriegsmaterial in einem Krieg, an dessen Ende die Kisor-Zwillinge | de/3361_ErsteMenschheit
bis zu einer langen Besetzung das Solsystems. | bis zu einer langen Besetzung des Solsystems. | de/3361_ErsteMenschheit
die moderne Technik der Aufraggeber aneignet | die moderne Technik der Auftraggeber aneignet | de/3361_ErsteMenschheit
This new Islandic law is very far-reaching. | This new Icelandic law is very far-reaching. | en/2052_CivilRightsForPrimates
convertible.As is common in the industry | convertible. As is common in the industry | en/2055_GariTata
In 2055, Gari Tata's has to repatriate | In 2055, Gari Tata has to repatriate | en/2055_GariTata
Totals revenues drop to 50% | Total revenues drop to 50% | en/2055_GariTata
And they seem employ better algorithms | And they seem to employ better algorithms | en/2055_GariTata
Statistical analysis suggest that they are curated | Statistical analysis suggests that they are curated | en/2060_Ecoterrorism
There are bodies of waters with huge concentrations | There are bodies of water with huge concentrations | en/2061_DoomsdayCocktail
A parcel transporter drives stop front of an apartment building. | A parcel transporter stops in front of an apartment building. | en/2071_DeliveryBot
most patents fusion technologies expire | most patents for fusion technologies expire | en/2101_Fusion
In gaming, so-called Real-Plays, an extension of 3D VR technologies into the real world. Have been around for a long time, these games show their content as a layer on top of reality. | In gaming, so-called Real-Plays, an extension of 3D VR technologies into the real world, have been around for a long time. These games show their content as a layer on top of reality. | en/2115_LifeThemes
neuro-implants have been assistants | neuro-implants has been assistants | en/2115_LifeThemes
The height of the snow adjustable. | The height of the snow is adjustable. | en/2115_LifeThemes
Not long after live-themes became available | Not long after life-themes became available | en/2115_LifeThemes
The *Darwin Omnipod is an adapted | The *Darwin* Omnipod is an adapted | en/2128_Darwin
